tenant_id,capability_key,enabled,read_only,source,module_key,required_permission,effective_from,effective_until
70000000-0000-0000-0000-000000000701,tprm.suppliers,t,f,plan,integrated_grc,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,workpapers.audit,t,f,plan,audit_workpapers,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
76c44a0e-6041-8bda-99c7-b740fccea001,ai.compliance,t,f,plan,ai_compliance,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,assurance.testing,t,f,plan,assurance_loss,assurance_tests.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,bi.dashboard_builder,t,f,plan,metrics_bi,dashboards.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,bi.executive_dashboards,t,f,plan,metrics_bi,dashboards.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,core.dashboard,t,f,plan,core,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,core.reports,t,f,plan,core,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.governance,t,f,plan,data_governance,data.catalog.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.impact_graph,t,f,plan,data_governance,data.lineage.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.lineage,t,f,plan,data_governance,data.lineage.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.semantic_layer,t,f,override,,semantic.contracts.read,2025-09-03 19:53:16.440717+00,2028-02-03 19:53:16.440717+00
76c44a0e-6041-8bda-99c7-b740fccea001,data.semantic_layer,t,f,plan,data_governance,semantic.contracts.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase1,t,f,plan,grc_core,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase2,t,f,plan,integrated_grc,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase3,t,f,plan,operations_grc,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,imports.excel,t,f,plan,operations_grc,operations.import,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,loss.events,t,f,plan,assurance_loss,loss_events.read,2026-08-03 19:59:18.231419+00,
